company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
TCS,3.3,1.1L,9.9L,11.9k,3k,IT Services & Consulting,Bengaluru +439 other locations,10.6k,1
Accenture,3.7,72k,6.5L,9.2k,37.2k,IT Services & Consulting,Bengaluru +255 other locations,6.7k,1
Wipro,3.6,63.9k,4.8L,6.7k,5k,IT Services & Consulting,Hyderabad +370 other locations,4.6k,1
Cognizant,3.6,60.3k,6L,6.3k,618,IT Services & Consulting,Hyderabad +230 other locations,5.5k,1
Capgemini,3.7,51.9k,4.8L,5.5k,2.2k,IT Services & Consulting,Bengaluru +182 other locations,3.7k,1
HDFC Bank,3.8,51.1k,1.5L,3k,349,Banking,Mumbai +1836 other locations,3.2k,1
Infosys,3.5,47.7k,5.3L,8.4k,2.4k,IT Services & Consulting,Bengaluru +248 other locations,4.8k,1
ICICI Bank,4.0,45.2k,1.5L,2.9k,15,Banking,Mumbai +1440 other locations,3.7k,1
HCLTech,3.4,44.9k,3.8L,4.5k,286,IT Services & Consulting,Chennai +231 other locations,3.8k,1
Tech Mahindra,3.4,42.6k,2.8L,4.5k,630,IT Services & Consulting,Hyderabad +331 other locations,3.4k,1
Genpact,3.6,41.3k,2.3L,3.8k,1k,Analytics & KPO,Hyderabad +181 other locations,3.5k,1
Teleperformance,3.8,37.1k,96.1k,2.2k,1.5k,BPO,Mumbai +255 other locations,1.8k,1
Jio,4.4,33.3k,62.2k,4.2k,2,Telecom,Mumbai +1957 other locations,2.5k,1
Axis Bank,3.6,32.5k,1L,1.9k,201,Banking,Mumbai +1509 other locations,2.1k,1
Concentrix Corporation,3.6,31.6k,1.3L,2k,64,BPO,Bengaluru +178 other locations,3.1k,1
Amazon,3.9,30.9k,1.5L,5.8k,1.9k,Internet,Bengaluru +520 other locations,3.6k,1
iEnergizer,4.6,27.2k,24.1k,1.3k,93,BPO,Noida +52 other locations,430,1
